06-FEB-1941,de Havilland DH.66 Hercules,VH-UJO,Stephens Aviation,1,Marble Creek,, ,A1
09-FEB-1941,Consolidated PBY-4 Catalina,1244,US Navy,1,San Diego-No...,, ,A1
12-FEB-1941,Douglas DC-2-190,40,CNAC,3,"Taohsien, Hunan",, ,A1
15-FEB-1941,Short S.30 Empire Flying Boat,G-AFCX,BOAC,0,"River Tagus,...",, ,O1
25-FEB-1941,Short Sunderland I,L5804,RAF,0,Scaramanga,, ,O1
26-FEB-1941,Douglas DST-318A (DC-3),NC28394,Eastern Air Lines,7,"near Jonesboro, GA",, ,A1
01-MAR-1941,Junkers Ju-52/3mge,EC-AAJ,Iberia,0,Palma de Mal...,, ,A1
01-MAR-1941,Junkers Ju-52/3mte,D-AQUB,Deutsche Lufthansa,3,Hommelvik Bay,, ,A1
05-MAR-1941,Consolidated PBY-2 Catalina,0467,US Navy,,,, ,A1
10-MAR-1941,Short Sunderland I,L2164,RAF,0,St. Paul's Bay,, ,C1
10-MAR-1941,Douglas DC-3-277C,NC15592,American Airlines,0,Cincinnati M...,, ,A2
26-MAR-1941,Sikorsky Y1OA-8 (S-43),37-374,USAAF,,Borinquen AA...,, ,A1
28-MAR-1941,Lockheed 18 Lodestar,ZS-AST,South African Airways,10,"Elands Bay, ...",, ,A1
??-MAR-1941,Junkers Ju-52/3mge,660,South African AF,,Jijiga,, ,A1
03-APR-1941,Douglas DC-3-201B,NC21727,Eastern Air Lines,0,"near Vero Beach, FL",,,A1
04-APR-1941,Ford 5-AT-.  Tri-Motor,AN-AA.,TACA de Nicaragua,2,near Alamicamba,, ,A1
08-APR-1941,Lockheed 14-N3 Super Electra,AX682,RAF,0,near Sallum,, ,A1
12-APR-1941,Savoia-Marchetti SM.75,E-101,Hungarian AF,23,Veszprém,,,A1
22-APR-1941,Ford 5-AT-C Tri-Motor,643,Colombian AF,1,near Río Putumayo,, ,A1
23-APR-1941,Short Sunderland I,L2161,RAF,0,Scaramanga,, ,C1
24-APR-1941,Short Sunderland I,N9023,RAF,3,"Langhóll, Fa...",, ,A1
25-APR-1941,Douglas DC-3-196A,URSS-C,Aeroflot,0,Moscow,, ,A1
26-APR-1941,Lockheed 18 Lodestar,ZS-ATH,South African Airways,,Cape Town-Wi...,, ,A1
27-APR-1941,Short Sunderland I,L5807,RAF,0,Kalafrana Bay,, ,C1
28-APR-1941,Short Sunderland III,T9075,RAAF,6,Iris Sea,, ,A1
17-MAY-1941,Junkers G.38gi/fi,GF+GG,German AF,0,Athens-Tatoi...,, ,C1
10-JUN-1941,Consolidated C-12 Commodore (16-2),BELEM,Brazilian AF,8,"Belém, PA",, ,A1
14-JUN-1941,Lockheed 18 Lodestar,241,South African AF,,Dodo River,, ,A1
14-JUN-1941,Ford 4-AT-B Tri-Motor,NC5809,Hangar Six,0,"Yoakum, TX",, ,A1
17-JUN-1941,de Havilland DH.86 Express,G-ACWC,BOAC,,Minaa,, ,A1
19-JUN-1941,Douglas DC-3-227,YR-PAF,LARES,0,Bucharest,, ,A1
26-JUN-1941,Sikorsky S-43,NC16928,Panagra,0,Rio de Janei...,, ,A1
27-JUN-1941,Junkers Ju-52/3m,P4+ ..,German AF,13,Tonnolfjelle...,, ,A1
27-JUN-1941,Junkers Ju-52/3m, ,German AF,12,Fiskviksaetr...,, ,A1
??-JUN-1941,Savoia-Marchetti SM-75,E-10.,Hungarian AF,0,Budaörs Airport,, ,C1
03-JUL-1941,Consolidated PBY-5 Catalina,2347,US Navy,,North Atlantic,, ,A1
15-JUL-1941,Consolidated Catalina I,AH533,RAF,7,near Cruach na Se...,, ,A1
24-JUL-1941,Douglas C-50B (DC-3-397),41-7705,USAAC,0,Dayton-Wrigh...,, ,A1
26-JUL-1941,Douglas DC-3, ,Soviet AF,7,"Lake Sig, Tv...",, ,A1
